County_Name,pct_gop
Alaska,52.8870018
Autauga,73.4357893
Baldwin,77.35147199
Barbour,52.27141482
Bibb,76.96616369
Blount,89.8518752
Bullock,24.22888747
Butler,56.31548647
Calhoun,69.23969943
Chambers,56.63376397
Cherokee,83.87127487
Chilton,82.54176938
Choctaw,56.43918547
Clarke,54.95516388
Clay,79.58003652
Cleburne,87.84445805
Coffee,77.14619997
Colbert,67.88759847
Conecuh,52.16261654
Coosa,64.6371817
Covington,83.58831711
Crenshaw,72.15291107
Cullman,87.81050486
Dale,74.11505613
Dallas,30.88093967
DeKalb,83.48922794
Elmore,74.83809782
Escambia,67.58693223
Etowah,73.91084326
Fayette,81.80819912
Franklin,79.18025931
Geneva,85.48760614
Greene,17.23570547
Hale,39.60049938
Henry,70.13845578
Houston,72.72662384
Jackson,80.07216743
Jefferson,45.02207776
Lamar,83.95613909
Lauderdale,71.45801664
Lawrence,73.39123299
Lee,59.51480891
Limestone,73.15736041
Lowndes,26.22828041
Macon,15.93507087
Madison,55.93360632
Marengo,47.7164779
Marion,87.30638166
Marshall,83.56070356
Mobile,55.74923342
Monroe,56.66175749
Montgomery,35.87531193
Morgan,74.79746354
Perry,26.69838249
Pickens,57.44680851
Pike,58.97120921
Randolph,75.982231
Russell,48.1291806
Shelby,73.42754617
St. Clair,83.24063579
Sumter,24.73791269
Talladega,62.00252875
Tallapoosa,70.07674016
Tuscaloosa,58.37984041
Walker,82.78220429
Washington,71.01978333
Wilcox,28.49876948
Winston,89.95611897
Arkansas,62.0236744
Ashley,66.50056061
Baxter,74.87737584
Benton,64.44908871
Boone,76.82880845
Bradley,59.80094001
Calhoun,69.06666667
Carroll,63.56043544
Chicot,41.3593637
Clark,52.5762104
Clay,63.21512211
Cleburne,78.99398396
Cleveland,74.56805092
Columbia,61.74040964
Conway,61.80936583
Craighead,65.19675132
Crawford,75.17490408
Crittenden,44.01190024
Cross,67.003367
Dallas,54.97993433
Desha,45.31471841
Drew,60.54639805
Faulkner,62.91519282
Franklin,75.15676321
Fulton,73.1450253
Garland,64.58834321
Grant,75.27352298
Greene,74.17833865
Hempstead,62.8722795
Hot Spring,69.00550148
Howard,68.08372896
Independence,73.83024622
Izard,74.90733877
Jackson,64.04869429
Jefferson,35.94206284
Johnson,67.48916305
Lafayette,61.72839506
Lawrence,72.19754841
Lee,40.91211718
Lincoln,64.36811746
Little River,69.41448382
Logan,73.18535527
Lonoke,74.35552567
Madison,72.50073725
Marion,75.57308723
Miller,70.51514205
Mississippi,53.77452866
Monroe,50.61460593
Montgomery,74.68795356
Nevada,61.89297866
Newton,77.05708925
Ouachita,54.11395608
Perry,70.70970805
Phillips,35.43661155
Pike,79.62588473
Poinsett,59.60628431
Polk,81.34466199
Pope,72.84288698
Prairie,73.53113984
Pulaski,38.78956178
Randolph,71.40820529
Saline,68.98462604
Scott,78.82001989
Searcy,79.90805841
Sebastian,66.04908511
Sevier,72.63670578
Sharp,75.17385257
St. Francis,43.10577442
Stone,73.83752488
Union,62.43726282
Van Buren,75.68555759
Washington,51.7165048
White,76.63837383
Woodruff,52.70588235
Yell,71.99874785
Apache,28.48491345
Cochise,58.02489165
Coconino,36.88708852
Gila,63.89382185
Graham,67.21668481
Greenlee,58.34104224
La Paz,68.56621375
Maricopa,49.12624154
Mohave,73.67129898
Navajo,51.30051682
Pima,40.75235197
Pinal,57.41378391
Santa Cruz,24.45397293
Yavapai,63.44255227
Yuma,50.50663657
Alameda,14.87112582
Alpine,36.69565217
Amador,59.57756313
Butte,48.03009778
Calaveras,58.52959613
Colusa,53.85198665
Contra Costa,25.43897185
Del Norte,54.84456789
El Dorado,53.38346707
Fresno,45.53151872
Glenn,61.71233607
Humboldt,32.35521465
Imperial,27.05324423
Inyo,53.12656328
Kern,54.73142726
Kings,54.09612403
Lake,44.09352242
Lassen,72.67319133
Los Angeles,23.38869382
Madera,56.0984152
Marin,15.94582549
Mariposa,58.40937254
Mendocino,31.22868387
Merced,43.47294405
Modoc,71.83685621
Mono,40.35700427
Monterey,27.2849518
Napa,29.57443121
Nevada,44.15779662
Orange,43.28010944
Placer,52.46525656
Plumas,57.5198188
Riverside,45.27626782
Sacramento,34.86950458
San Benito,36.82563169
San Bernardino,42.41302776
San Diego,38.23522144
San Francisco,9.442505372
San Joaquin,40.99443734
San Luis Obispo,42.28135661
San Mateo,18.68910848
Santa Barbara,32.72359704
Santa Clara,20.85297991
Santa Cruz,17.75894422
Shasta,65.58838934
Sierra,58.09312639
Siskiyou,56.52349264
Solano,31.77801842
Sonoma,22.80933805
Stanislaus,46.72699675
Sutter,55.14476322
Tehama,65.49071038
Trinity,51.08142494
Tulare,53.38634465
Tuolumne,57.45569189
Ventura,38.5746441
Yolo,26.03164569
Yuba,58.47183968
Adams,42.14532477
Alamosa,43.94664347
Arapahoe,38.92593145
Archuleta,58.07956104
Baca,81.44280968
Bent,61.62790698
Boulder,21.93453476
Broomfield,38.219699
Chaffee,48.03163924
Cheyenne,84.10780669
Clear Creek,43.85394071
Conejos,47.48110831
Costilla,31.92307692
Crowley,70.74784911
Custer,67.1997389
Delta,69.5276394
Denver,18.78548889
Dolores,76.09756098
Douglas,54.76661674
Eagle,36.05767105
Elbert,73.5292243
El Paso,56.34255107
Fremont,68.85740402
Garfield,49.6467639
Gilpin,43.76049245
Grand,52.47268883
Gunnison,34.94999462
Hinsdale,57.55517827
Huerfano,49.70837752
Jackson,72.85382831
Jefferson,42.07457136
Kiowa,85.11137163
Kit Carson,80.09964019
Lake,39.81102362
La Plata,40.59306035
Larimer,42.61231479
Las Animas,54.62423427
Lincoln,77.97668609
Logan,74.95361781
Mesa,64.27827341
Mineral,52.7607362
Moffat,81.30568356
Montezuma,61.16008185
Montrose,67.88324632
Morgan,68.16958277
Otero,59.3092497
Ouray,40.67538789
Park,59.08247926
Phillips,76.80102916
Pitkin,24.28035044
Prowers,70.4700683
Pueblo,46.15717328
Rio Blanco,80.96623981
Rio Grande,55.75801749
Routt,37.3874528
Saguache,40.9678611
San Juan,42.49011858
San Miguel,23.89236836
Sedgwick,74.41348974
Summit,31.52979267
Teller,67.45053862
Washington,84.34268833
Weld,56.71724344
